latitude,longitude,blk_no,road_name,postal_code,address,cbd_dist,min_dist_mrt
1.332062,103.91092294774276,122,Bedok Reservoir Road,470122,122 BEDOK RESERVOIR RD,8570.90811804419,395.63727537865424
1.3226539499999999,103.93534281733545,7,Bedok South Avenue 2,460007,7 BEDOK STH AVE 2,10329.967289059205,1269.005217276933
1.3333928,103.9325404033074,508,Bedok North Avenue 3,460508,508 BEDOK NTH AVE 3,10620.46289243789,1538.0466615301905
1.3237923999999999,103.93994565424289,63,New Upper Changi Road,461063,63 NEW UPP CHANGI RD,10847.709085597646,755.4330249157405
1.33602935,103.93816452359518,770,Bedok Reservoir View,470770,770 BEDOK RESERVOIR VIEW,11306.546409606244,1019.0008341077071
1.3293495,103.93396337817384,404,Bedok North Avenue 3,460404,404 BEDOK NTH AVE 3,10530.928920474491,1332.6996339093253
1.3336643499999998,103.90671362368981,658,Jalan Tenaga,410658,658 JLN TENAGA,8331.674536590685,407.12220101922674
1.33239865,103.90908613303044,671,Jalan Damai,410671,671 JLN DAMAI,8437.693562257431,353.02421165992183
1.32993315,103.91232215060484,603,Bedok Reservoir Road,470603,603 BEDOK RESERVOIR RD,8547.082760072164,670.9475871860615
1.32262995,103.93784152697935,32,Bedok South Avenue 2,460032,32 BEDOK STH AVE 2,10581.315370119268,1022.4125669848759
1.33329095,103.94099031082786,94E,Bedok North Avenue 4,464094,94E BEDOK NTH AVE 4,11426.19788802668,848.5172705779189
1.32963155,103.93024790000001,415,Bedok North Avenue 2,460415,415 BEDOK NTH AVE 2,10187.442794654402,1745.9461854671886
1.323991,103.9177571,33,Jalan Waringin,418037,33 CHAI CHEE AVE,8674.448538898203,1543.2959097097903
1.3346024,103.90839720876184,662,Jalan Damai,410662,662 JLN DAMAI,8540.247095818439,192.99496382379667
1.3252175,103.9236168,,,460029,29A CHAI CHEE AVE,9304.059501295758,1903.2047927225394
1.3240776,103.9240026,29B,Chai Chee Road,462029,29 CHAI CHEE AVE,9278.879247849993,2014.2789302414772
1.34616955,103.85495303607497,153,Bishan Street 13,570153,153 BISHAN ST 13,6996.785371767865,1229.5941773261989
1.34388045,103.85508673340044,147,Bishan Street 11,570147,147 BISHAN ST 11,6745.025390935905,1359.8872668771116
1.3470814500000001,103.84806011022067,111,Bishan Street 12,570111,111 BISHAN ST 12,7094.965439367986,1547.8265612918747
20.3301808,79.5988226,,,441223,449 SIN MING AVE,3376118.9725225624,813554.2721982942
1.3564858499999999,103.8491066818793,216,Bishan Street 23,570212,216 BISHAN ST 23,8129.353402441298,1804.6399660142486
1.36120915,103.8438559910096,249,Bishan Street 22,570282,249 BISHAN ST 22,8687.556728713584,2368.6854163015014
1.346755,103.8479910520984,109,Bishan Street 12,570109,109 BISHAN ST 12,7059.311897972936,1511.183083029245
1.35860995,103.84755052604547,225,Bishan Street 23,570213,225 BISHAN ST 23,8370.966907890705,2047.2737066429816
1.35854085,103.83230953390279,444,Bright Hill Drive,573957,444 SIN MING AVE,8616.143964397139,2978.197095335513
1.3459934,103.85691565075236,157,Bishan Street 13,570157,157 BISHAN ST 13,6993.467362226445,1056.0425582155456
1.3470286,103.84998825238746,117,Bishan Street 12,570117,117 BISHAN ST 12,7081.458432440434,1576.302009521951
1.3598696499999998,103.84453090425157,238,Bishan Street 22,570233,238 BISHAN ST 22,8533.169561548804,2411.041734274528
1.3611422,103.84316359607789,247,Bishan Street 22,570282,247 BISHAN ST 22,8687.88047420459,2378.8905353899254
36.5789301,-79.41452051628477,420,West Main Street,24541,420 BT BATOK WEST AVE 2,15798850.806078812,328703.1618327274
1.3522452999999999,103.75468635029046,506,Bukit Batok Street 52,650506,506 BT BATOK ST 52,13199.822119426115,831.1387533083453
1.3587508000000001,103.75138478953633,372,Bukit Batok Street 31,650372,372 BT BATOK ST 31,13921.370334000077,56.27627054499338
1.3569992499999999,103.74811725359905,303,Bukit Batok Street 31,650303,303 BT BATOK ST 31,14100.248150404299,464.73113935484923
1.3547877499999998,103.75089940908131,539,Bukit Batok Street 52,650539,539 BT BATOK ST 52,13706.200771264377,489.6105116723494
1.34402605,103.75898298557308,289E,Bukit Batok Street 25,654289,289E BT BATOK ST 25,12291.861861302577,1160.0738929516097
1.3515905,103.74500141311475,133,Bukit Batok West Avenue 6,650133,133 BT BATOK WEST AVE 6,14052.463773438803,1119.9867435585845
1.3504011,103.74678287371398,119,Bukit Batok West Avenue 6,650119,119 BT BATOK WEST AVE 6,13814.58039367232,1111.0621799810071
1.3571008500000001,103.74884311981899,301,Bukit Batok Street 31,650301,301 BT BATOK ST 31,14041.090590748303,390.7584375524363
1.3462336499999998,103.7580822267927,285,Bukit Batok East Avenue 3,650285,285 BT BATOK EAST AVE 3,12510.542655152278,1064.9095664690458
1.3491802,103.7466128333752,115,Bukit Batok West Avenue 6,650115,115 BT BATOK WEST AVE 6,13758.242197745602,1238.8267347247256
1.36249695,103.74988561274623,344,Bukit Batok Street 34,650344,344 BT BATOK ST 34,14305.71689552825,423.19055103322216
1.27310985,103.8217334353581,32,Telok Blangah Rise,098915,32 TELOK BLANGAH RISE,3467.491443736141,841.7841584132052
39.9076956,116.47472367440078,77,Jianguo Rd.,100025,77 INDUS RD,4464559.223544458,1715879.3029194623
1.2765157999999999,103.83099658957822,148A,Silat Avenue,168871,148 SILAT AVE,2370.6306818479807,1068.8966961891188
22.343572899999998,114.19649115926325,31-41,Fei Fung Street,,41 KIM CHENG ST,2585243.1163361296,629921.0025491378
1.2773029,103.80868754991735,85,Telok Blangah Heights,100085,85 TELOK BLANGAH HTS,4784.077110102992,1939.1562550101344
55.11337845,-6.65058335,139A,Mountsandel Road,BT52 1JL,139 JLN BT MERAH,11177484.710758364,267868.9684363306
1.2828631499999998,103.82954689078773,126A,Kim Tian Road,161126,126A KIM TIAN RD,2420.989369978373,421.5428332125062
34.460782949999995,-98.03345642379519,176270 n 2780 rd,74th Street,73533,17 SENG POH RD,15442084.287842851,846483.4095821937
1.2877094,103.81218665932803,51,Lengkok Bahru,150051,51 LENGKOK BAHRU,4384.02597313133,1704.6805237133626
1.27270945,103.82287261381866,37,Telok Blangah Rise,099840,37 TELOK BLANGAH RISE,3362.144362830744,810.3240257373876
1.2810986999999998,103.82995250055936,127D,Kim Tian Road,161120,127D KIM TIAN RD,2385.0856651373465,612.4531983381705
44.5868876,0.5305561,,,47410,471 SEGAR RD,10962383.56775093,741574.072835426
40.0913067,-75.11645400828291,515,Meetinghouse Rd,19046,515 JELAPANG RD,15421206.70215163,432143.5580641115
1.37741925,103.77422644743677,272,Bangkit Road,670260,272 BANGKIT RD,13512.040354491128,1313.0630433275408
40.7858779,-73.97726088274193,212,West 83rd Street,10024,212 PETIR RD,15340127.412456613,529130.7881027563
39.75732895,-86.41764373458466,115,S. County Rd 575,46123,115 PENDING RD,15341830.391572641,178197.3609451708
1.37536995,103.77095964484107,228,Pending Road,670129,228 PENDING RD,13574.391453940416,997.7808573940227
1.3780901,103.76677765855703,107,Gangsa Road,670143,107 GANGSA RD,14108.077554763826,481.3054165506318
4.63435355,101.05903765258972,503,Lorong Jelapang 42,30020,503 JELAPANG RD,483391.024074244,173340.5695662809
40.7478095,-73.9457377,,44th Drive,11101,2 QUEEN'S RD,15344197.729366327,525933.9450437988
40.92064165,-74.69860985156299,28,Sparta Rd,07874,28 KELANTAN RD,15328020.621454516,528741.2366894284
1.3060931999999998,103.85497195252889,634,Veerasamy Road,200634,634 VEERASAMY RD,2586.020076822041,554.0156244451886
1.3819374500000001,103.7527692072457,4,Teck Whye Avenue,680004,4 TECK WHYE AVE,15489.500252756576,1153.3659607662926
1.38292485,103.74028941268972,429,Choa Chu Kang Avenue 4,680429,429 CHOA CHU KANG AVE 4,16574.484219332116,1824.650966182113
1.3786342,103.74100626251632,294,Choa Chu Kang Avenue 2,680294,294 CHOA CHU KANG AVE 2,16201.535046512274,2235.6757632412587
1.3769797,103.736139291579,464,Choa Chu Kang Avenue 4,680464,464 CHOA CHU KANG AVE 4,16499.82851097309,2620.2457939583564
1.3910467999999998,103.74859485423129,,Choa Chu Kang North 5,680766,634 CHOA CHU KANG NTH 6,16534.26024430614,761.6338155767394
1.38201275,103.74548320139039,220,Choa Chu Kang Central,680220,220 CHOA CHU KANG CTRL,16079.401853981004,1760.0737272464876
1.3910467999999998,103.74859485423129,,Choa Chu Kang North 5,680766,762 CHOA CHU KANG NTH 5,16534.26024430614,761.6338155767394
1.37707955,103.74193204032997,297,Choa Chu Kang Avenue 2,680297,297 CHOA CHU KANG AVE 2,16011.402470848076,2262.62625378235
1.38148815,103.74040279852657,424,Choa Chu Kang Avenue 4,680424,424 CHOA CHU KANG AVE 4,16459.544719626756,1964.2317128637953
1.37732415,103.74303890147576,297B,Choa Chu Kang Avenue 2,682297,297B CHOA CHU KANG AVE 2,15935.651592539609,2163.059115982629
1.4022944000000002,103.75045706978659,,Choa Chu Kang Crescent,681672,664 CHOA CHU KANG CRES,17319.093406747812,603.8577147210036
1.3902158999999998,103.7435488144215,,Choa Chu Kang Street 51,680533,515 CHOA CHU KANG ST 51,16862.61417663104,941.0245877717269
1.3824336499999998,103.74144925139322,418,Choa Chu Kang Avenue 4,680418,418 CHOA CHU KANG AVE 4,16442.12788680551,1823.488402572054
1.3826432,103.74353247507875,354,Choa Chu Kang Central,680354,354 CHOA CHU KANG CTRL,16286.151834813192,1730.9599340055272
